french,english,pos,cefr,root,example,region,tags
lent,slow,adjective,A2,lent,Il parle lentement.,France,
lentement,slowly,adverb,A2,lent,,France,
lenteur,slowness,noun,B1,lent,La lenteur du processus.,France,
ralentir,to slow down,verb,B1,lent,Ralentis un peu.,France,
vite,fast,adjective,A2,vite,C'est trop vite.,France,
vitement,quickly,adverb,A2,vite,Il a répondu vitement.,France,
absolu,absolute,adjective,B1,absolu,C'est absolu.,France,
absolument,absolutely,adverb,B1,absolu,Je suis absolument d'accord.,France,
franchement,frankly; honestly,adverb,B1,,Franchement je ne sais pas.,France,spoken
choqué,shocked,adjective,B1,,Je suis choqué.,France,spoken
genre,like; kind of,particle,B1,,C'est genre difficile.,France,spoken
du coup,so; therefore,phrase,B1,,Du coup on part demain.,France,spoken
en fait,actually,phrase,A2,,En fait non.,France,spoken
quand même,still; anyway,phrase,A2,,Quand même!,France,spoken
pastèque,watermelon,noun,A1,,J'adore la pastèque.,France,
melon d'eau,watermelon,noun,A1,,,Quebec,regional
